# VIDEOTRACKER MADE THIS FILE!
# {'nframes': 136, 'size': (300, 416), 'fps': 33, 'duration': 4.121212121212121, 'videoname': 'masseRessort_cropped.mp4'}
# {'pixels': '?', 'mm': '?'}
# barycentre
# array([110,  39,  68])
# T [seconde];X [pixels];Y [pixels]; num image
0.000000e+00;       166;       117;1
3.030303e-02;       172;       206;2
6.060606e-02;       173;       185;3
9.090909e-02;       170;       154;4
1.212121e-01;       169;       126;5
1.515152e-01;       166;       104;6
1.818182e-01;       164;        83;7
2.121212e-01;       162;        67;8
2.424242e-01;       159;        54;9
2.727273e-01;       156;        45;10
3.030303e-01;       153;        46;11
3.333333e-01;       148;        48;12
3.636364e-01;       145;        57;13
3.939394e-01;       142;        71;14
4.242424e-01;       138;        93;15
4.545455e-01;       135;       110;16
4.848485e-01;       130;       134;17
5.151515e-01;       126;       158;18
5.454545e-01;       123;       179;19
5.757576e-01;       122;       201;20
6.060606e-01;       120;       215;21
6.363636e-01;       118;       221;22
6.666667e-01;       117;       228;23
6.969697e-01;       116;       226;24
7.272727e-01;       114;       217;25
7.575758e-01;       114;       202;26
7.878788e-01;       114;       185;27
8.181818e-01;       115;       160;28
8.484848e-01;       119;       143;29
8.787879e-01;       118;       114;30
9.090909e-01;       120;        91;31
9.393939e-01;       124;        73;32
9.696970e-01;       129;        58;33
1.000000e+00;       132;        48;34
1.030303e+00;       137;        43;35
1.060606e+00;       141;        47;36
1.090909e+00;       145;        56;37
1.121212e+00;       148;        67;38
1.151515e+00;       148;        67;39
1.181818e+00;       154;       113;40
1.212121e+00;       156;       128;41
1.242424e+00;       160;       150;42
1.272727e+00;       163;       171;43
1.303030e+00;       167;       189;44
1.333333e+00;       172;       209;45
1.363636e+00;       175;       220;46
1.393939e+00;       176;       225;47
1.424242e+00;       176;       219;48
1.454545e+00;       175;       210;49
1.484848e+00;       171;       191;50
1.515152e+00;       168;       165;51
1.545455e+00;       167;       141;52
1.575758e+00;       168;       125;53
1.606061e+00;       165;       103;54
1.636364e+00;       161;        83;55
1.666667e+00;       155;        69;56
1.696970e+00;       151;        55;57
1.727273e+00;       148;        41;58
1.757576e+00;       147;        41;59
1.787879e+00;       145;        47;60
1.818182e+00;       141;        58;61
1.848485e+00;       136;        77;62
1.878788e+00;       131;        99;63
1.909091e+00;       130;       116;64
1.939394e+00;       126;       137;65
1.969697e+00;       125;       160;66
2.000000e+00;       124;       184;67
2.030303e+00;       120;       201;68
2.060606e+00;       119;       220;69
2.090909e+00;       118;       232;70
2.121212e+00;       117;       234;71
2.151515e+00;       118;       232;72
2.181818e+00;       117;       212;73
2.212121e+00;       118;       199;74
2.242424e+00;       118;       178;75
2.272727e+00;       117;       159;76
2.303030e+00;       119;       134;77
2.333333e+00;       121;       113;78
2.363636e+00;       123;        88;79
2.393939e+00;       127;        65;80
2.424242e+00;       132;        48;81
2.454545e+00;       135;        42;82
2.484848e+00;       139;        41;83
2.515152e+00;       142;        49;84
2.545455e+00;       146;        61;85
2.575758e+00;       150;        74;86
2.606061e+00;       154;        92;87
2.636364e+00;       159;       112;88
2.666667e+00;       162;       134;89
2.696970e+00;       164;       154;90
2.727273e+00;       166;       174;91
2.757576e+00;       169;       195;92
2.787879e+00;       172;       209;93
2.818182e+00;       173;       219;94
2.848485e+00;       173;       221;95
2.878788e+00;       173;       220;96
2.909091e+00;       173;       212;97
2.939394e+00;       173;       200;98
2.969697e+00;       172;       183;99
3.000000e+00;       172;       163;100
3.030303e+00;       170;       140;101
3.060606e+00;       168;       119;102
3.090909e+00;       165;        98;103
3.121212e+00;       163;        79;104
3.151515e+00;       161;        65;105
3.181818e+00;       158;        55;106
3.212121e+00;       157;        52;107
3.242424e+00;       154;        51;108
3.272727e+00;       149;        61;109
3.303030e+00;       145;        72;110
3.333333e+00;       138;        90;111
3.363636e+00;       134;       106;112
3.393939e+00;       131;       129;113
3.424242e+00;       127;       150;114
3.454545e+00;       126;       171;115
3.484848e+00;       123;       191;116
3.515152e+00;       121;       205;117
3.545455e+00;       120;       218;118
3.575758e+00;       118;       224;119
3.606061e+00;       116;       224;120
3.636364e+00;       116;       219;121
3.666667e+00;       114;       208;122
3.696970e+00;       113;       192;123
3.727273e+00;       113;       172;124
3.757576e+00;       115;       145;125
3.787879e+00;       116;       123;126
3.818182e+00;       117;       101;127
3.848485e+00;       119;        78;128
3.878788e+00;       122;        59;129
3.909091e+00;       125;        45;130
3.939394e+00;       131;        40;131
3.969697e+00;       134;        43;132
4.000000e+00;       138;        52;133
4.030303e+00;       143;        61;134
4.060606e+00;       147;        79;135
4.090909e+00;       150;       101;136
